"filename", "language", "CSS", "TypeScript React", "JSON", "JavaScript", "TypeScript", "HTML", "XML", "Ignore", "Markdown", "YAML", "comment", "blank", "total"
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Gantt/gantt-task.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/Messages/UserWebGetCompleteProjectInfoMessage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 13
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/Messages/UserWebWSInitializeMessage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/Messages/UserWsInitializeMessage.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 16
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/Messages/WebReplyWSInitializeMessage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 13
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/index.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 40
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/pages/HomePage.tsx", "TypeScript React", 0, 400, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 432
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Home/pages/LeftTabs.tsx", "TypeScript React", 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 22, 20, 427
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Login/LoginPage.tsx", "TypeScript React", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 138
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Login/views/LoginPanel.tsx", "TypeScript React", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 286
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Login/views/RegisterPanel.tsx", "TypeScript React", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 176
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Members/MemberPanel.tsx", "TypeScript React", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 82
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Projects/ProjectsPage.tsx", "TypeScript React", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 303
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Projects/components/CreateProjectDialog.tsx", "TypeScript React", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 57, 18, 385
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Projects/components/ProjectCard.tsx", "TypeScript React", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 17, 6, 201
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/SyncEdit/DataInterface/MyEditTaskInterface.tsx", "TypeScript React", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 20
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/SyncEdit/DataInterface/SelectTargetInterface.tsx", "TypeScript React", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/SyncEdit/EditDetailPanel.tsx", "TypeScript React", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 183
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/SyncEdit/SyncEditPanel.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 29
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/SyncEdit/TaskListPanel.tsx", "TypeScript React", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 121
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Components/CreateTaskDialog.tsx", "TypeScript React", 0, 531, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35, 581
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Components/EditTaskDialog.tsx", "TypeScript React", 0, 635, 0, 0, 0, 0, 0, 0, 0, 0, 30, 37, 702
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Components/SelectMemberDialog.tsx", "TypeScript React", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 137
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Components/TaskCard.tsx", "TypeScript React", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 224
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/DataInterface/NewTaskInterface.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 20
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Messages/UserWebAddTaskMessage.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 16
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Messages/UserWebGetCompleteTaskInfoMessage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 14
"/Users/tantianyi/Documents/MyWork/MyGraduationProject/create/src/Tasks/Messages/UserWebGetTasksInfoMessage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 14
